datetime,signal,indicadores
2025-05-15 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-15 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-15 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-15 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-15 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-16 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-16 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-16 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-16 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-16 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-16 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-16 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-19 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-19 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-19 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-19 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-19 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-19 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-19 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-20 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-20 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-20 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-20 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-20 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-20 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-20 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-21 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-21 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-21 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-21 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-21 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-21 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-21 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-22 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-22 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-22 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-22 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-22 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-22 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-22 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-23 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-23 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-23 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-23 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-23 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-23 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-23 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-27 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-05-27 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-27 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-27 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-27 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-27 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-05-27 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
